Date,USA,UK,FRA,DE,DJAI,FTSE 100,CAC40,DAX 30,year
2006/11/2,-0.003750098,0.004103037,-0.001269841,0.003323642,-0.000746914,-0.008740526,0.008042773,-0.010487976,94
2006/11/3,0.002101787,0.000909504,-0.006373508,0.003312632,0.004871431,-0.003703749,0.011864135,-0.002086306,95
2006/11/6,0.011629772,0.009500185,0.013022258,0.015586862,0.010456475,0.003524225,-0.003496375,0.015575407,96
2006/11/7,0.001925213,-0.002253776,-0.001579031,-0.004078309,0.001355972,0.003226744,0.004802611,0.011591668,97
2006/11/8,-0.001258374,-0.00497626,-0.002848554,-0.011095244,-0.001389727,-0.006564402,-0.004208359,-0.005282598,98
2006/11/9,0.000592373,0.00135962,-0.004765696,0.00371211,0.000641133,0.003388101,0.010444856,0.006716746,99
2006/11/10,0.001331558,0.000905387,-0.002231788,0.000411607,0.000789042,0.000115311,-0.001570468,0.00149184,100
2006/11/13,-0.00118352,0.002259888,0.001275917,-0.003297612,-0.001268166,0.001499239,0.006498483,0.00166487,101
2006/11/14,0.008622331,0.006300651,0.012355614,0.01271812,0.008031193,-0.001943217,0.002271502,9.91836E-05,102
2006/11/15,0.00256495,0.007597802,-0.004417805,-0.00449439,0.001071599,0.005135621,-0.000224903,0.006632781,103
2006/11/16,0.001535818,0.006213957,0.001264223,0.003270649,0.001678285,-0.009555517,-0.002347253,0.000244412,104
2006/11/17,-0.003147304,-0.003990251,-0.006019343,-0.006962961,-0.002555723,0.001502466,0.001320463,-0.002506071,105
2006/11/20,0.001318682,0.0008881,0.004438815,0.002463055,0.003563512,0.01048269,0.002965576,0.005433893,106
2006/11/21,0.001609364,0.00751717,0.009759246,0.006538642,0.001587209,0.003834671,-0.001338842,0.001872585,107
2006/11/22,0.000219258,0.003956919,0.00375235,0.006900778,-0.000779542,0.001758481,-0.013341737,0.010511717,108
2006/11/23,0.004593351,-0.002196355,0.001870908,0.000404449,0.009497867,0.00418181,0.016267649,0.001873546,109
2006/11/24,0.00297803,0.002196355,-0.003432676,0.000808407,0.000904937,0.003250535,0.001841692,0.000623348,110
2006/11/27,0.003402965,0.006124254,0.011190667,0.006845205,0.000560534,-0.001946951,0.003262272,-0.015387677,111
2006/11/28,0.003103239,0.005653418,0.010149249,0.010776396,0.002385349,0.004097005,0.021090239,0.000194258,112
2006/11/29,-0.006288647,-0.010024054,-0.009531202,-0.005174141,-0.006052648,0.000137739,-0.01088885,0.012760219,113
2006/11/30,-0.000725374,-0.001753617,-0.00464469,-0.001197844,-0.000311043,0.001968198,-0.011452766,-0.001045516,114
2006/12/1,-0.000145138,0.004815067,-0.000931532,0.005180326,-0.000477506,0.002812391,-0.017442961,-0.005578887,115
2006/12/4,-0.006772281,0.000436586,-0.000310704,-0.00119308,-0.004123307,0.005592173,0.001992072,0.008705993,116
2006/12/5,-0.00058471,0.004789907,-0.005296788,-0.002390439,-0.001037857,0.003984144,0.001307144,0.012171676,117
